전략명,시나리오,거래수,승률(%),CAGR(%),MDD(%),PF,평균승리(%),평균손실(%),평균보유(봉),리스크등급,최종등급
F존(모멘텀),상승장(impulse-avg),9.8,32.4,-0.2,1.0,0.91,3.1,-2.1,4.2,Medium,Conditional
F존(모멘텀),하락장,5.0,60.0,0.4,0.2,2.76,2.8,-1.8,3.0,Low,Conditional
F존(모멘텀),횡보장,2.0,50.0,0.1,0.2,1.84,2.5,-2.0,2.5,Low,Conditional
F존(모멘텀),최상(seed6),6,67.0,0.5,0.2,3.67,3.8,-1.9,3.1,Low,Conditional
F존(모멘텀),최하(seed8),11,9.0,-0.7,1.7,0.18,2.9,-2.1,4.5,High,Not-Approved
블루라인(돌파),상승장,26,30.8,-0.7,3.1,0.76,5.3,-3.1,7.4,Medium,Conditional
블루라인(돌파),하락장,26,42.3,1.2,1.5,1.48,4.8,-2.9,6.8,Low-Medium,Ready
블루라인(돌파),횡보장,16,75.0,2.1,0.5,5.19,4.5,-2.7,5.2,Low,Ready
블루라인(돌파),평균(15회),21.8,40.2,0.3,2.2,1.26,5.0,-3.0,6.8,Low-Medium,Ready
블루라인(돌파),최상(seed8),22,55.0,2.2,0.6,2.58,5.1,-2.8,6.1,Low,Ready
블루라인(돌파),최하(seed15),22,18.0,-1.3,3.1,0.44,5.3,-3.2,7.2,Medium,Not-Approved
복합(수박+돌파),상승장,9,0.0,-1.0,1.9,0.00,-,-2.1,3.2,High,Deferred
복합(수박+돌파),하락장,17,5.9,-1.6,3.0,0.11,-,-2.1,4.5,High,Deferred
복합(수박+돌파),횡보장,0,,-,0.0,-,-,-,-,N/A,Deferred
